scoot_name,description,time,congestion_percentage,current_flow,average_speed,link_travel_time,start_lat,start_long,end_lat,end_long
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:54:17Z,0,39,33,49,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:55:17Z,0,39,33,49,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:56:14Z,0,39,33,49,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:57:17Z,0,50,35,56,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:58:18Z,0,50,35,56,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T13:59:16Z,0,50,35,56,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:00:17Z,0,50,35,56,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:01:18Z,0,50,35,56,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:02:21Z,0,50,35,56,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:03:17Z,0,50,35,56,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
N22161B,"Barlow Moor Rd southbound approach at junction of Wilbraham Rd/Barlow Moor Rd, Manchester.",2020-11-07T14:04:19Z,0,36,38,57,-2.27825343856989,53.4438719984499,-2.27728350649639,53.4426521556298
